[Alterations]     owa-test.azbukavkusa.ru
[Riddler]         av.azbukavkusa.ru
[CertSpotter]     meet.azbukavkusa.ru
[DNS]             mail1.azbukavkusa.ru
[CertSpotter]     owa.azbukavkusa.ru
[AnubisDB]        sip.azbukavkusa.ru
[CertSpotter]     join.azbukavkusa.ru
[CertSpotter]     pool01.azbukavkusa.ru
[AnubisDB]        autodiscover.azbukavkusa.ru
[BufferOver]      cavist.azbukavkusa.ru
[AnubisDB]        lyncdiscover.azbukavkusa.ru
[CertSpotter]     lyncdiscover.sip.azbukavkusa.ru
[AnubisDB]        www.azbukavkusa.ru
[CertSpotter]     wc.azbukavkusa.ru
[AnubisDB]        mail-service.azbukavkusa.ru
[DNS]             azbukavkusa.ru
[DNS]             mail2.azbukavkusa.ru
[CertSpotter]     pool02.azbukavkusa.ru
